,Agartala,Agra,Ahemdabad,Allahabad,Amritsar,Asansol,Bangalore,Baroda,Bhopal,Bhubaneshwar,Bombay,Calcutta,Calicut,Chandigarh,Cochin,Coimbatore,Delhi,Gwalior,Hubli,Hyderabad,Imphal,Indore,Jabalpur,Jaipur,Jamshedpur,Jullundur,Kanpur,Kolhapur,Lucknow,Ludhiana,Madras,Madurai,Meerut,Nagpur,Nasik,Panjim,Patna,Pondicherry,Pune,Ranchi,Shillong,Shimla,Surat,Trivandrum,Varanasi,Vijayawada,Vishakapatnam
Agartala,0,2566,3220,2083,3126,2076,3277,3263,2697,2286,3421,1863,3413,2929,3635,3449,2681,2490,3027,3150,3215,2886,2417,2793,2131,3056,2276,3091,2247,2991,3023,3493,2615,2674,3238,2837,1681,3160,3338,1983,2700,2906,3423,3629,1961,3061,2731
Agra,2566,0,878,483,645,1079,1681,970,782,1573,1180,1300,2056,448,2064,1970,200,515,1290,1246,2419,591,833,230,1157,575,290,1461,369,510,1728,1893,266,770,1005,1480,885,1560,1214,1013,1904,547,1141,2150,605,1512,1680
Ahemdabad,3220,878,0,1245,1354,1719,1395,119,523,1647,552,1493,1648,1155,1845,1669,911,919,1101,1209,3073,442,901,648,1225,1285,1108,911,1187,1218,1726,1827,975,875,504,1136,1539,1723,664,1775,2518,1254,263,1928,1367,1478,1785
Allahabad,2083,483,1245,0,1093,797,1405,1182,778,1090,1352,817,1643,854,1607,1487,650,473,1570,1084,1936,803,736,710,875,1008,193,1611,234,959,1245,1410,687,608,1155,1419,402,1077,1364,704,1421,893,1357,1699,508,1350,1518
Amritsar,3126,645,1354,1093,0,1689,2157,1420,1187,2158,1700,1885,2426,239,2204,2399,445,701,1766,1833,2979,1111,1245,706,1767,393,900,1981,939,344,2338,2503,511,1357,1525,1956,1445,2170,1734,1623,2464,338,1564,2395,1190,2099,2267
Asansol,2076,1079,1719,797,1689,0,1640,1773,1374,523,1784,226,1776,1450,1998,1812,1262,1069,1390,1567,1929,1394,1131,1304,494,1604,789,1454,825,1555,1386,1866,1278,1122,1746,1200,395,1554,1701,640,1414,1484,1871,1992,675,1298,968
Bangalore,3277,1681,1395,1405,2157,1640,0,1276,1148,1412,910,1414,520,1958,512,333,1714,1695,391,563,3131,1339,1296,1451,1682,2089,1598,484,1639,2021,331,432,1778,1039,940,440,1807,328,731,1828,1872,2057,1143,696,1752,637,1093
Baroda,3263,970,119,1182,1420,1773,1276,0,570,1604,433,1612,1529,1181,1726,1550,1030,876,982,1090,3116,379,1020,767,1344,1335,1068,792,1147,1286,1607,1708,1094,774,457,1017,1582,1604,545,1712,2399,1280,382,1809,1304,1359,1684
Bhopal,2697,782,523,778,1187,1374,1148,570,0,1162,778,1495,1668,988,1660,1481,742,688,1251,808,2550,191,609,596,1452,1117,585,1061,664,1052,1479,1580,808,352,605,1143,1016,1476,814,1308,2035,1087,786,1844,900,1077,1262
Bhubaneshwar,2286,1573,1647,1090,2158,523,1412,1604,1162,0,1679,423,1922,1944,1828,1633,1713,1486,1530,1044,2139,1275,1087,1680,422,2088,1283,1622,1254,2023,1207,1687,1707,830,1516,1397,862,1373,1587,560,1640,1913,1579,1953,968,775,445
Bombay,3421,1180,552,1352,1700,1784,910,433,778,1679,0,1558,1160,1501,1360,1189,1257,1085,614,729,3275,589,1106,994,1777,1632,1278,426,1357,1564,1241,1342,1321,849,197,584,1754,1238,184,1807,2038,1600,301,1376,1514,973,1328
Calcutta,1863,1300,1493,817,1885,226,1414,1612,1495,423,1558,0,1550,1671,1772,1586,1440,1224,1164,1467,1717,1608,1167,1527,268,1815,1010,1228,981,1750,1160,1640,1434,1163,1675,974,621,1328,1475,414,1281,1640,1756,1766,695,1198,868
Calicut,3413,2056,1648,1643,2426,1776,520,1529,1668,1922,1160,1550,0,2187,222,417,2089,2042,766,910,3267,1607,1643,1826,1818,2341,1836,830,1877,2292,715,548,2153,1386,1193,576,2045,566,984,1964,2219,2286,1396,440,2099,1147,1477
Chandigarh,2929,448,1155,854,239,1450,1958,1181,988,1944,1501,1671,2187,0,1965,2160,248,462,1567,1594,2782,912,1046,507,1528,154,661,1782,740,105,2099,2264,314,1118,1326,1757,1248,1931,1535,1384,2267,99,1325,2183,976,1860,2028
Cochin,3635,2064,1845,1607,2204,1998,512,1726,1660,1828,1360,1772,222,1965,0,195,2097,1881,774,1075,3489,1804,1808,1834,2040,2119,1800,934,1841,2070,621,326,2161,1551,1390,798,2009,530,1181,2186,2384,2064,1593,218,2115,1053,1383
Coimbatore,3449,1970,1669,1487,2399,1812,333,1550,1481,1633,1189,1586,417,2160,195,0,2047,1960,724,896,3303,1628,1629,1784,1854,2314,1680,817,1721,2265,426,521,2111,1372,1214,773,1889,410,1005,2000,2205,2259,1417,413,1995,858,1188
Delhi,2681,200,911,650,445,1262,1714,1030,742,1713,1257,1440,2089,248,2097,2047,0,315,1323,1446,2534,668,800,263,1348,375,481,1538,499,310,1895,2060,66,970,1082,1513,1000,1727,1291,1204,2019,347,1174,1950,745,1712,1880
Gwalior,2490,515,919,473,701,1069,1695,876,688,1486,1085,1224,2042,462,1881,1960,315,0,1411,1132,2343,497,823,351,1147,616,280,1347,359,567,1718,1883,381,656,891,1467,809,1550,1100,1003,1828,561,1104,2099,595,1398,1566
Hubli,3027,1290,1101,1570,1766,1390,391,982,1251,1530,614,1164,766,1567,774,724,1323,1411,0,486,2881,1060,1219,1060,1432,1698,1577,444,1656,1630,683,823,1387,962,646,190,1785,653,437,1578,1795,1666,849,982,1675,755,1085
